"","mergedColors"
"ANK2","turquoise"
"ZNF721","black"
"RALGAPA1","yellow"
"ZFPM2","blue"
"NKTR","black"
"PHTF2","yellow"
"THBS2","magenta"
"KCNMB1","turquoise"
"TMEM47","blue"
"ZBTB20","turquoise"
"CIDEC","pink"
"FAS","turquoise"
"TNFRSF12A","red"
"CTSS","turquoise"
"LARP6","turquoise"
"RFC5","yellow"
"LMCD1","turquoise"
"NET1","blue"
"PRG4","turquoise"
"PTPRE","turquoise"
"LOC729966 ","black"
"NDRG2","turquoise"
"GSTM3","blue"
"APOL6","turquoise"
"ECM1","yellow"
"AKR1C1","pink"
"LYPLA1","yellow"
"TXNDC15","turquoise"
"BTK","turquoise"
"MT1G","magenta"
"HN1","turquoise"
"KDELC1","magenta"
"ATP2A3","turquoise"
"CTC-425F1.4","green"
"STAT4","turquoise"
"XCL1 ","turquoise"
"ZCCHC14","blue"
"GJA1","red"
"IL33","blue"
"MT1X","magenta"
"NUAK1","blue"
"LYZ","turquoise"
"OGT","brown"
"RGS3","magenta"
"IQCJ-SCHIP1 ","green"
"SLC35G2","turquoise"
"JAK2","turquoise"
"PFKP","grey"
"EMX2","blue"
"RTP4","brown"
"F2R","magenta"
"GSPT2","brown"
"YTHDC2","yellow"
"BANK1","turquoise"
"CENPU","turquoise"
"CSRP2","turquoise"
"ACP2","turquoise"
"APOB","pink"
"LOC100996668 ","blue"
"MARCH3","blue"
"DPEP2","turquoise"
"ABCA6","brown"
"MCM5","turquoise"
"CIDEA","pink"
"SCARB2","black"
"ASF1A","brown"
"NCOA2","brown"
"PLEKHF2","brown"
"NCF2","turquoise"
"MAGED4 ","magenta"
"CAPG","turquoise"
"LOC101060321 ","black"
"SGPP1","black"
"GPR65","turquoise"
"TLR1","blue"
"CENPT","green"
"ARID5B","turquoise"
"HS3ST2","turquoise"
"UBE2L6","turquoise"
"AMIGO2","brown"
"HSPG2","red"
"STON1","turquoise"
"GAREM","blue"
"NOTCH3","blue"
"IDO1","turquoise"
"FNBP1L","blue"
"HMHA1","turquoise"
"PDE4DIP","green"
"HSPA2","green"
"ID2","brown"
"GAL3ST4","yellow"
"ZNF423","brown"
"PHYH","blue"
"GATM","brown"
"SLC11A1","black"
"LGMN","turquoise"
"DACT1","blue"
"VAMP5","turquoise"
"FERMT2","turquoise"
"C14orf132","red"
"POMZP3","grey"
"CFI","grey"
"MMRN1","blue"
"TMEM2","blue"
"COL6A2","red"
"INPP5D","turquoise"
"SERINC3","green"
"RERGL","blue"
"SLK","yellow"
"NAGK","turquoise"
"NAIP","turquoise"
"DDAH1","turquoise"
"ACSL4","red"
"TAP2","turquoise"
"PPIP5K2","yellow"
"AKT2","brown"
"M6PR","turquoise"
"TCRDV2 ","turquoise"
"ZWINT","turquoise"
"RHOBTB1","brown"
"FZD1","brown"
"CIRBP","turquoise"
"AGAP10 ","black"
"CA2","turquoise"
"NR1D1 ","turquoise"
"BAMBI","red"
"RSAD2","green"
"MYO5C","blue"
"TUBA4A","turquoise"
"NMRK1","brown"
"HES1","greenyellow"
"SEMA3E","turquoise"
"SYNGR2","turquoise"
"STAB1","red"
"CD83","greenyellow"
"LRMP","turquoise"
"ADAM19","turquoise"
"HLF","blue"
"FEM1C","green"
"SYNE2","green"
"IGFBP4","yellow"
"EZR","turquoise"
"SPAG4","turquoise"
"NLGN4Y","greenyellow"
"SMC2","brown"
"ADH1C","pink"
"IGF1","brown"
"ABI3BP","black"
"NR2F2","blue"
"PRSS23","magenta"
"TMCO3","black"
"GMNN","blue"
"MORC4","turquoise"
"TPM2","blue"
"ATOX1","turquoise"
"MAP4K1","turquoise"
"PRRC2A","green"
"EPB41L1","purple"
"LOC101928916 ","magenta"
"CD72","turquoise"
"MIR21 ","purple"
"FAM47E ","pink"
"ATM","turquoise"
"PLEKHA5","red"
"MEIS2","blue"
"RSBN1","yellow"
"ACAP2","yellow"
"TSR1","black"
"GNA15","turquoise"
"ZNF652","brown"
"SCML1","red"
"INSIG2","brown"
"MLF1","turquoise"
"WWTR1","yellow"
"GALNT1","pink"
"AKAP1","turquoise"
"KANK1","turquoise"
"CCNL2","black"
"SLC19A3","pink"
"KCNJ8","blue"
"SLCO4A1","brown"
"MIR6732 ","brown"
"PLS3","blue"
"PNMAL1","red"
"MXRA8","red"
"S100A13","blue"
"ZNF267","yellow"
"EBLN2","black"
"PTGFR","grey"
"SEMA5A","grey"
"ETNK1","brown"
"FAIM3","turquoise"
"KIAA1598","turquoise"
"MXI1","blue"
"MZF1","black"
"BAZ1A","purple"
"COL5A3","magenta"
"THBD","brown"
"CLDND1","green"
"MYL9","blue"
"DKFZP586I1420","black"
"RPS6KA1","turquoise"
"GUCY1A3","magenta"
"NOV","turquoise"
"PDGFRB","red"
"IFI30 ","turquoise"
"LYN","turquoise"
"CRY1","yellow"
"CORO2B","turquoise"
"NOC3L","purple"
"PLA2G4A","green"
"PHLPP1","blue"
"JMJD1C","yellow"
"RRAS2","red"
"TDG","yellow"
"ENPP4","yellow"
"SAR1B","yellow"
"HLA-DQB1 ","turquoise"
"CYBA","turquoise"
"AK1","grey"
"FMNL1","green"
"PALMD","blue"
"SLIT3","blue"
"GPRASP1","blue"
"PDGFA","red"
"WDR41","brown"
"LRP5","purple"
"RNF144A","magenta"
"COL14A1","brown"
"PTPRD","brown"
"OLFML3","red"
"P2RX5-TAX1BP3 ","brown"
"ME2","turquoise"
"LOC645166 ","red"
"CCDC91","brown"
"EMILIN1","yellow"
"CLEC3B ","turquoise"
"FAM65B","purple"
"DIXDC1","blue"
"MBNL2","blue"
"DCK","brown"
"NR1H3","turquoise"
"SUCLA2","yellow"
"NPIPA5 ","black"
"NAGA","turquoise"
"MGAT2","purple"
"C1QA","turquoise"
"CRISPLD2","red"
"FHL1","blue"
"P2RX4","turquoise"
"NPC1","turquoise"
"MERTK","turquoise"
"GPD1","pink"
"FAT4","blue"
"EFNA5","turquoise"
"C9orf3","turquoise"
"DIAPH2","blue"
"PRKACB","brown"
"ANPEP","black"
"CPM","blue"
"CASP1","turquoise"
"PIM2","turquoise"
"HOXA10","purple"
"SDS","blue"
"SSPN","blue"
"MAPRE3","green"
"LOC100506076 ","black"
"VSIG4","turquoise"
"BTN3A1","brown"
"STXBP1","turquoise"
"HLA-DPA1","turquoise"
"HP ","brown"
"IGFLR1","turquoise"
"DNAJB1","greenyellow"
"FASN","pink"
"MICAL1","red"
"TSPYL1","yellow"
"MFF","green"
"GALNT6","turquoise"
"BEGAIN","brown"
"AKR1C3","blue"
"NPR3","pink"
"CSTA","turquoise"
"ELP5","turquoise"
"MAP3K4","blue"
"SEC23A","yellow"
"FABP3","turquoise"
"C5AR1","blue"
"SLC33A1","brown"
"PDLIM7","yellow"
"SEC24A","yellow"
"SEMA4A","turquoise"
"LOC100293211","turquoise"
"DPY19L4","blue"
"KANK2","blue"
"KLF7","turquoise"
"DLC1","turquoise"
"DOK5","magenta"
"TBC1D9","brown"
"HSPB2","blue"
"PRKCH","black"
"TRO","green"
"CRELD2","turquoise"
"CBR3","brown"
"MX2","turquoise"
"MDM1","brown"
"EPN2 ","turquoise"
"LOC102724229 ","brown"
"TMEM176A","turquoise"
"ZFYVE16","yellow"
"PALM","blue"
"HNRNPH2 ","yellow"
"IL11RA","blue"
"LHFP","blue"
"SORBS1","black"
"CLU","turquoise"
"YES1","turquoise"
"EGR2","greenyellow"
"TCF7","turquoise"
"NPIPA1 ","black"
"CKLF ","turquoise"
"DNAJB9","purple"
"BST2","turquoise"
"ATF5","turquoise"
"DMTF1","yellow"
"DUSP6","black"
"IRAK3","yellow"
"SLC5A3","grey"
"IL1B","black"
"DDX60","brown"
"CTSL","blue"
"UPF3A","turquoise"
"LBH","purple"
"MINK1","yellow"
"GAA","yellow"
"SLC1A3","pink"
"GSTM2","green"
"SMAD4","yellow"
"PYROXD1","yellow"
"NR1D2","grey"
"AIF1","turquoise"
"HOXB6","turquoise"
"CKB","turquoise"
"FAM69A","brown"
"CTSW","turquoise"
"SLC2A3","brown"
"ZSCAN18","blue"
"CSTB","yellow"
"DUSP5","brown"
"ITPR1","black"
"FBXO16 ","purple"
"MCAM","blue"
"DUSP10","grey"
"HIST1H2BK","green"
"FIGF ","turquoise"
"PTPN2","blue"
"VAV1","turquoise"
"ADRA2A","pink"
"PITX1","turquoise"
"SLIT2","purple"
"CD74","turquoise"
"ANGPT2","magenta"
"PLOD2","red"
"DICER1","grey"
"LUC7L3","yellow"
"TULP3","blue"
"KCNE4","blue"
"ITGA6","blue"
"THUMPD1","yellow"
"IGLV4-60 ","turquoise"
"PEG3","blue"
"PTPRB","blue"
"SLC29A1","turquoise"
"TM2D1","yellow"
"MAN2B1","turquoise"
"SMAD3","blue"
"MAP4K3","yellow"
"TNFRSF10B","red"
"TMEM158","blue"
"SZRD1","brown"
"RGCC","turquoise"
"C1GALT1","turquoise"
"HIST2H2BE","pink"
"TOB1","pink"
"RCAN2","blue"
"ANGPT1","blue"
"HOPX","turquoise"
"IFI6","grey"
"PLVAP","blue"
"GRINA","green"
"RBM3","red"
"SCARA3","yellow"
"ADAMTS2","magenta"
"ZNF395","pink"
"NUP54","yellow"
"ECHDC2","turquoise"
"PLBD1","turquoise"
"COLGALT2","pink"
"SRSF5","black"
"AREL1","turquoise"
"OLFML1","brown"
"SASH1","blue"
"TWF1","yellow"
"PCK1","pink"
"WSB1","black"
"NT5E","red"
"EFNB2","turquoise"
"RAPGEF5","blue"
"CCNB2","turquoise"
"ME1","turquoise"
"ISG15","turquoise"
"NOD2","blue"
"SPCS3","turquoise"
"UBE2D1","yellow"
"TPM1","blue"
"MIR6840 ","black"
"EIF2AK2","green"
"NCALD","magenta"
"POLI","blue"
"ENTPD1","turquoise"
"TGIF1","turquoise"
"KIF13A","black"
"CRYZ","blue"
"MME","green"
"ODC1","red"
"PFKFB3","turquoise"
"PER2","yellow"
"AKAP2 ","turquoise"
"EIF2AK3","yellow"
"LIPT1","blue"
"LAPTM4B","yellow"
"SKAP2","turquoise"
"HCAR3","blue"
"CTNNB1","black"
"PPAP2A","blue"
"SOX17","blue"
"CAPN3","black"
"ATXN1","turquoise"
"RNF11","yellow"
"SLN","grey"
"RASL12","blue"
"BAI3","turquoise"
"TMEM204","blue"
"ANKRD10-IT1","black"
"TSC22D3","blue"
"PLD3","green"
"DDX39A","blue"
"KRAS","grey"
"EAPP","blue"
"JAM2","blue"
"CEP68","blue"
"CCDC69","blue"
"HERC5","blue"
"ZNHIT6","yellow"
"USP9Y","greenyellow"
"SGMS1","brown"
"GPR124","red"
"LBR","turquoise"
"SLC35E1","black"
"ITIH5","pink"
"SRSF11","green"
"ARGLU1","black"
"ACSL5","turquoise"
"DLGAP4","green"
"MT1E","magenta"
"LRRC32","grey"
"TCIRG1","turquoise"
"RAB27A","turquoise"
"MINA","red"
"PLAUR","blue"
"TAF7","yellow"
"ENAH","brown"
"YTHDF3","yellow"
"FKBP10","yellow"
"FMO1","magenta"
"DIP2A","black"
"TPM4","yellow"
"CD19","turquoise"
"RBM26","yellow"
"TSC22D2","red"
"BTAF1","yellow"
"HDHD1","greenyellow"
"CYFIP2","turquoise"
"MSC","green"
"CEBPB","greenyellow"
"RB1CC1","yellow"
"BMP2K","turquoise"
"ITM2A","blue"
"CX3CL1","blue"
"ATP9A","pink"
"MANF","blue"
"AHSA2","brown"
"ITPR3","magenta"
"PMS1","yellow"
"MGLL","blue"
"UGP2","magenta"
"DLG5","turquoise"
"DYSF","pink"
"RBMS3","turquoise"
"BRD4","brown"
"HSPA1A ","turquoise"
"SLC36A1","turquoise"
"GGH","turquoise"
"CASP8","turquoise"
"LRRC8D","turquoise"
"LRP1","green"
"KPNA2","turquoise"
"APOBEC3A ","blue"
"RFTN1","turquoise"
"DGKZ","turquoise"
"IL16","turquoise"
"STX16","black"
"BHMT2","turquoise"
"PEX6","yellow"
"HLA-DRB1 ","turquoise"
"PTMS","green"
"FAT1","pink"
"MDK","magenta"
"GSTM5","turquoise"
"CLK4","yellow"
"SPRED2","turquoise"
"PDZD2","green"
"BNC2","magenta"
"VEGFB","purple"
"SOCS2","turquoise"
"TAOK1","black"
"LGALS9","turquoise"
"HRH1","red"
"BAZ2B","brown"
"EDRF1","brown"
"FEZ1","blue"
"GOLGA6L4 ","yellow"
"GSTT1","grey"
"MIR22 ","greenyellow"
"FRY","blue"
"MT1HL1","magenta"
"LAMP2","turquoise"
"ZFHX3","turquoise"
"ALG13","brown"
"IMPA2","turquoise"
"CTSD","green"
"TMEM51","turquoise"
"GPR183","grey"
"NNT","black"
"PCMTD2","blue"
"CD84","turquoise"
"GAS7","red"
"KDR","blue"
"ARRB2","turquoise"
"CTSO","brown"
"GRAMD3","blue"
"PAPSS2","turquoise"
"TJP1","blue"
"HNMT","brown"
"CCDC59","yellow"
"TSPYL4","blue"
"AQP1","magenta"
"BMP4","turquoise"
"KIAA1109","blue"
"TFPI","pink"
"TRMT13","yellow"
"CLEC5A","blue"
"GTF2H5","green"
"SLC31A1","turquoise"
"CUEDC1","brown"
"CNDP2","turquoise"
"EBF2","turquoise"
"AGA","turquoise"
"MCAM ","blue"
"SOX18","blue"
"LOC101927705 ","magenta"
"STK10","turquoise"
"SERPINI1","brown"
"CRABP2","grey"
"PNISR","black"
"ADI1","yellow"
"ARHGEF3","brown"
"CD180","turquoise"
"GOLGA8N","yellow"
"ERBB2IP","yellow"
"LRRC2","yellow"
"WIPF1","brown"
"USP33","blue"
"RNASE2","grey"
"CREBBP","yellow"
"GBE1","pink"
"DAPK3 ","green"
"SLC17A9","blue"
"ETS2","turquoise"
"COX7A1","turquoise"
"NYNRIN","blue"
"C12orf5","turquoise"
"FLVCR2","turquoise"
"FUBP3","yellow"
"SMNDC1","yellow"
"TCF15","green"
"LAMB2","purple"
"BMP2","brown"
"LOC100507577 ","black"
"ERC1","grey"
"PPIC","magenta"
"FADS1 ","turquoise"
"FBLN5","pink"
"AKIP1 ","turquoise"
"SAV1","turquoise"
"BICC1","magenta"
"NUP88","red"
"THAP9-AS1","yellow"
"TAPBPL","turquoise"
"ARNTL2","turquoise"
"MEX3C","yellow"
"ZFP36L1","black"
"ASAP1-IT1","black"
"LOC100996693 ","purple"
"ELAVL3","green"
"LMNA","yellow"
"SLC6A8","brown"
"AMDHD2 ","yellow"
"OGFOD3","brown"
"AMOTL2","blue"
"AOAH","turquoise"
"MT2A","magenta"
"EPB41L3","purple"
"COCH","green"
"FYB","turquoise"
"PCDHGA1 ","purple"
"TGFB1I1","blue"
"DDX58","brown"
"GALNT7","yellow"
"HOXA10-HOXA9 ","blue"
"C1QTNF1","turquoise"
"FUT7","green"
"SPSB1","turquoise"
"TACSTD2","green"
"HYAL1","blue"
"NQO2","greenyellow"
"ASPA","pink"
"HSPH1","red"
"DOCK4","turquoise"
"LINC00342","black"
"ANKRD11","brown"
"SETX","turquoise"
"RGS5","blue"
"MED28","red"
"TRAF5","brown"
"HTR2A","blue"
"CD97","turquoise"
"ECM2","green"
"PALLD","blue"
"TRIL","grey"
"ARHGDIB","turquoise"
"SRSF7","greenyellow"
"CD28","turquoise"
"COX11","blue"
"GADD45G","turquoise"
"LARP4","purple"
"PEX5","pink"
"CYB5R4","turquoise"
"NRBF2","yellow"
"TCF12","blue"
"CCL21","turquoise"
"PPFIBP1","green"
"LPAR6","brown"
"FUT8","brown"
"CTSH","turquoise"
"C11orf95","blue"
"GFPT1","green"
"THOC7","yellow"
"SLA","blue"
"METTL7A","blue"
"PTPRK","blue"
"SLC31A2","turquoise"
"IFIT3","grey"
"KIAA0754","black"
"MSL3","turquoise"
"MIS12","yellow"
"PRPF40A","brown"
"PRC1","turquoise"
"NFIB","blue"
"GPSM3","pink"
"HAB1","green"
"VGLL4","turquoise"
"EAF2","turquoise"
"LOC100506403 ","blue"
"MMP14","brown"
"HIST1H1C","grey"
"FKBP9","red"
"SEH1L","red"
"BTBD3","blue"
"FBXO11","yellow"
"UBE2J1","turquoise"
"MFGE8","purple"
"HPGD","red"
"GRAMD1B","turquoise"
"GABRE ","pink"
"LOC101928189 ","brown"
"CHSY1","red"
"NUPL2","purple"
"FPGT","blue"
"KCNMA1","brown"
"PRDX4","turquoise"
"PTBP2","yellow"
"LMO4","turquoise"
"KATNBL1","green"
"KIAA0355","blue"
"GK","blue"
"EFHD2","blue"
"BLOC1S5-TXNDC5 ","turquoise"
"ARHGAP5","yellow"
"SEPT5-GP1BB","green"
"CNIH1","purple"
"TNFRSF21","grey"
"DENR","yellow"
"HAT1","green"
"DCLK1","blue"
"BATF","turquoise"
"SH3BP4","blue"
"DCP2","brown"
"PLGRKT","turquoise"
"C2","turquoise"
"COLEC12","turquoise"
"BTG1","greenyellow"
"TSKU","pink"
"SLC20A1","pink"
"HIC1","green"
"SCD","pink"
"UBE2S","red"
"PELI1","red"
"PTGER2","brown"
"SH3GLB2","purple"
"SUGP2","black"
"RBM12","red"
"RPS6KA3","purple"
"FOXC1","greenyellow"
"HLA-DRB6","turquoise"
"RALGDS","yellow"
"NECAP2","turquoise"
"PERP","pink"
"LAG3","turquoise"
"VCPKMT","yellow"
"PODXL","blue"
"GPR18","turquoise"
"CPQ","red"
"MAP3K5","turquoise"
"ANO1","magenta"
"MAP3K6","purple"
"ATP1B1","blue"
"MITF","blue"
"GBP2","brown"
"TMEM45A","blue"
"TMEM63A","green"
"SLC24A3","turquoise"
"TGFB1","turquoise"
"BOLA2 ","turquoise"
"PXDC1","turquoise"
"KDM6B","brown"
"NCK1","brown"
"STK38L","yellow"
"NFKBIA","greenyellow"
"EPB41L4B","pink"
"EHD2","blue"
"MSANTD2","yellow"
"ATP8A1","brown"
"SLC4A7","brown"
"COL4A1","grey"
"EIF1B","yellow"
"ENO2","red"
"RAP2B","turquoise"
"TPR","grey"
"XPOT","red"
"FHL2","red"
"STK17B","turquoise"
"NFIC","green"
"SIL1","turquoise"
"COMMD8","brown"
"VWA1","yellow"
"SEPT6","brown"
"ATP6V0E2","turquoise"
"CD2AP","blue"
"AGPS","turquoise"
"ALDH1A3","red"
"FAM118A","green"
"LAIR1","turquoise"
"PANK3","yellow"
"IFNAR2","turquoise"
"APBB3 ","black"
"LEPROTL1","brown"
"PTPLB","green"
"LEPRE1","magenta"
"AMT","black"
"TOPBP1","brown"
"RPL17 ","brown"
"ANP32E","yellow"
"FADS3","brown"
"EXOC5","black"
"PIK3CB","brown"
"ADAM15","brown"
"LOC399491","black"
"NPIPB15","black"
"CRTAC1","grey"
"LTB4R2","green"
"FOXO3","pink"
"PLEKHB2","turquoise"
"F8","blue"
"ZAP70","turquoise"
"CCL20","brown"
"ATF1","yellow"
"ARAP2 ","turquoise"
"CTSZ","turquoise"
"SNHG17","red"
"BEX4","blue"
"SYPL1","black"
"SCAMP4","yellow"
"LOC145783 ","blue"
"CSGALNACT1","grey"
"LMO2","yellow"
"SIX2","turquoise"
"WEE1","blue"
"PPP3CA","turquoise"
"PASK","turquoise"
"PHF20","turquoise"
"ITPKB","magenta"
"GSTT2","turquoise"
"GCC2","brown"
"JMJD7-PLA2G4B ","black"
"DOHH","green"
"RRP15","red"
"COL4A2","red"
"NAT1","turquoise"
"HOMER3","red"
"TMEM14B","brown"
"LTBP1","red"
"SNED1","turquoise"
"PKD2","blue"
"C3orf14","green"
"DIRAS3","pink"
"TGM2","turquoise"
"MYO15B","black"
"SLC25A16","black"
"SLC7A8","turquoise"
"MTSS1","blue"
"MAL","grey"
"SLC16A7","turquoise"
"PDE2A","blue"
"DHRS3","pink"
"CCNB1","turquoise"
"LAMA3","pink"
"SRSF6","red"
"RPS6KA2","blue"
"OXR1","blue"
"PTP4A3","turquoise"
"TAF1D","purple"
"SACM1L","yellow"
"ZNF302","brown"
"CNN3","turquoise"
"CTSK","magenta"
"C12orf29","yellow"
"NES","turquoise"
"LIF","brown"
"ASNSD1","red"
"TRAPPC2","yellow"
"NUCB2","turquoise"
"OPN3","magenta"
"PCGF2","blue"
"TLR3","brown"
"NPIPA1","black"
"SYNC","brown"
"CSF3R","blue"
"PLXNA2","turquoise"
"CYBRD1","turquoise"
"COX7A2","red"
"GYPC","turquoise"
"PLTP","red"
"HS2ST1","brown"
"ATXN7","black"
"TLK1","blue"
"KCNN4","turquoise"
"SDPR","blue"
"FDFT1","blue"
"ARPC4 ","green"
"CAV1","blue"
"HAS2","turquoise"
"EIF1AX","red"
"HERC2P2 ","black"
"KCNJ15","red"
"RNF38","blue"
"SOCS5","green"
"ALMS1","black"
"PRKD2","turquoise"
"RAI2","blue"
"TNPO1","grey"
"SMYD2","brown"
"TOB2","turquoise"
"NUP62","turquoise"
"ZCCHC8","yellow"
"DNAJB4","blue"
"OSTF1","turquoise"
"PIK3CA","blue"
"WIPI1","brown"
"ANGEL2","brown"
"LYST","blue"
"NR4A3","brown"
"GPR137B","turquoise"
"WTAP","red"
"CLEC4A","turquoise"
"CDCP1","pink"
"MICU2","yellow"
"SLC7A1","red"
"MYLIP","blue"
"SLCO2A1","grey"
"NQO1","turquoise"
"GRB10","blue"
"MGEA5","blue"
"DOK2","turquoise"
"ITGB5","red"
"KLF6","greenyellow"
"CTSF","blue"
"SAMD9","turquoise"
"OAS1","turquoise"
"FHL5","blue"
"GTF2IRD1","turquoise"
"CCDC85B","blue"
"CCZ1B","black"
"ITGB7","turquoise"
"HNRNPF","brown"
"FUS","blue"
"IRF7","turquoise"
"NXF1","greenyellow"
"GTF2H2B","black"
"ACTN1","grey"
"NLRP3","turquoise"
"STEAP3","turquoise"
"ALG6","brown"
"EVL","turquoise"
"GPR171","turquoise"
"AKR1B10","pink"
"SNCA","grey"
"FLJ42627","black"
"DENND1C","turquoise"
"SPOCK2","turquoise"
"DAAM1","blue"
"AHDC1","purple"
"NXN","blue"
"NEK7","yellow"
"HIPK1","green"
"TNS1","blue"
"HNRNPUL2","brown"
"SNRPG","purple"
"GVINP1","turquoise"
"VEGFA","brown"
"PITPNC1","purple"
"PECAM1","brown"
"GRN","turquoise"
"ADAM9","turquoise"
"FSCN1","magenta"
"ADA","turquoise"
"STXBP6","blue"
"CUTC","pink"
"LAMC1","blue"
"NPAS2","turquoise"
"CCNG2","blue"
"LIMCH1","blue"
"AP1G2","turquoise"
"ISCA1","yellow"
"ABCG1","pink"
"LMO3","pink"
"CFH ","blue"
"MAPK10","pink"
"EFHC1","brown"
"JUP","purple"
"PLXNB2","red"
"FUT4","turquoise"
"GLT8D2","red"
"VAT1","red"
"LSM5","yellow"
"CHST11","blue"
"BID","blue"
"RCN3","red"
"MAP1S","turquoise"
"GMCL1","blue"
"SLMO2","yellow"
"PTOV1","purple"
"MAK16","red"
"GRB2","turquoise"
"HLA-F-AS1","yellow"
"RCC1","brown"
"PSIP1","blue"
"SEMA4C","turquoise"
"PHACTR2","red"
"TPK1","brown"
"MFHAS1","blue"
"XPO1","brown"
"SAMD4A","turquoise"
"C1RL","blue"
"TSNAX","yellow"
"IGF2BP2","brown"
"CSF2RA","turquoise"
