"","mergedColors"
"DBF4","yellow"
"PAICS","red"
"VRK2","turquoise"
"LAPTM5","turquoise"
"EFEMP2","red"
"CTBP2","blue"
"ERCC3","blue"
"UBE2N","blue"
"AOC1","turquoise"
"PON2","brown"
"COPG1","green"
"AGMAT","turquoise"
"HSPA12A","grey"
"DPM3","red"
"VPS54","yellow"
"FOXM1","turquoise"
"DONSON","brown"
"SLCO2B1","turquoise"
"CLIP2","red"
"SCN2B","green"
"GATAD1","purple"
"SLC41A3","purple"
"PHLDA1","brown"
"CACNA1A ","magenta"
"C11orf48 ","blue"
"CLIP4","green"
"ZDHHC24","yellow"
"ZNF211","brown"
"TRRAP","turquoise"
"CBR1","turquoise"
"LRPPRC","red"
"APOL2","turquoise"
"CNTRL","turquoise"
"DDX3X","turquoise"
"CENPE","turquoise"
"LRRFIP1","black"
"DPY19L1","brown"
"SH2B3","turquoise"
"PA2G4","brown"
"DNAJC9","brown"
"SYNGR3","turquoise"
"WFS1","blue"
"TRANK1","turquoise"
"SNRPA1","greenyellow"
"FBXL15","red"
"PRDM1","turquoise"
"ARHGEF1 ","green"
"RAB6B","grey"
"S1PR4","blue"
"TINAGL1","turquoise"
"TMEM59L","green"
"ADAT1","brown"
"ACAT1","blue"
"STT3A","black"
"PEX12","green"
"CST1","turquoise"
"CCNJ","purple"
"CENPB","grey"
"GINS1","turquoise"
"GNG7","turquoise"
"NAGLU","red"
"NAP1L1","turquoise"
"TGFBR2","blue"
"ITGB1","turquoise"
"PDS5A","yellow"
"RHOD","grey"
"MSH5 ","green"
"PRPH","red"
"KIAA0247","turquoise"
"CYP27A1","red"
"C6orf62","brown"
"OAS3","turquoise"
"MYO1C","purple"
"PBXIP1","red"
"UBAC1","brown"
"TMEM14A","brown"
"PCNX","blue"
"NDC1","green"
"WASF1","blue"
"HIVEP3","turquoise"
"IKBKB","brown"
"NPEPL1","green"
"KIAA0391 ","blue"
"PHACTR4","black"
"TMEM39A","green"
"MIR4680 ","blue"
"ACADVL","yellow"
"UBASH3A","turquoise"
"MDFIC","brown"
"PLA2G7","black"
"RP4-781L3.1","brown"
"ARHGEF40","green"
"CSE1L","red"
"AF090939","brown"
"MRPS12","red"
"GOLGA4","yellow"
"PCMT1","brown"
"IZUMO4","green"
"RPIA","red"
"RAB11FIP5","turquoise"
"GSTK1","turquoise"
"THOC6","blue"
"RCL1","red"
"RRAS","brown"
"GDF5","brown"
"TRIP6","red"
"UXS1","turquoise"
"LOC728392","brown"
"IRF9","turquoise"
"LAMC3","brown"
"PRPF18","green"
"PTP4A1","red"
"TPP2","purple"
"PDHX","yellow"
"HDHD3","green"
"GLUL","red"
"ACYP2 ","blue"
"HSP90B1","red"
"HDAC9","blue"
"LAT","turquoise"
"ZNF304","yellow"
"EMID1","yellow"
"GBAS","brown"
"EDEM1","turquoise"
"LTB4R","brown"
"EDA","brown"
"SARAF","brown"
"HMGN4","turquoise"
"PTPRO","turquoise"
"TRIP10","turquoise"
"SLC9A6","brown"
"RNF170","brown"
"RBM14","blue"
"CSGALNACT2","yellow"
"GP1BB ","green"
"ABCE1","red"
"MFSD12","turquoise"
"NPAT","brown"
"POLD2","brown"
"CDV3","red"
"FAM216A","red"
"ATP6V1D","turquoise"
"DLD","yellow"
"FAM214B","green"
"TAF9B","black"
"PDLIM1","grey"
"SYT11","brown"
"IPO7","red"
"MEGF8","green"
"NUP133","brown"
"LLGL1","grey"
"CAND1","brown"
"ACOT13","red"
"GATAD2A","brown"
"PYGL","yellow"
"FAM173A","turquoise"
"CYP1B1","brown"
"LPCAT3","brown"
"DVL1","turquoise"
"PBX2","grey"
"TCEB1","red"
"ATG7","turquoise"
"EXOC2","brown"
"PPP1CA","turquoise"
"HCRP1","black"
"KRBOX4","blue"
"MAN2B2","purple"
"TLE1","green"
"ATG4B","black"
"ZMYM6 ","brown"
"IL3RA","blue"
"C12orf4","turquoise"
"LEP","pink"
"PCNP","yellow"
"LINC00094","blue"
"ADCY6","turquoise"
"CENPM","turquoise"
"ULK1","black"
"IQCK","blue"
"MEF2A","blue"
"EML3","yellow"
"PDIA6","turquoise"
"COL9A3","green"
"BC069804 ","black"
"NPC2","turquoise"
"C19orf10","turquoise"
"ZNF26","green"
"SLC30A3","brown"
"CCNT1","brown"
"DTWD1","yellow"
"AOC2","yellow"
"ECHDC1","red"
"NADSYN1","green"
"LRBA","blue"
"SHMT2","turquoise"
"ASXL2","brown"
"TRPS1","yellow"
"TCN1","green"
"MTMR4","brown"
"RCN1","purple"
"NDUFS1","brown"
"PSMA5","turquoise"
"GBAP1","turquoise"
"MIF","blue"
"GGTLC2","brown"
"NIP7","red"
"LIME1","turquoise"
"HBP1","blue"
"MTA1","turquoise"
"SLC15A2","turquoise"
"PLS1","yellow"
"ICA1","grey"
"MYO18A ","red"
"ST6GALNAC4","brown"
"DIP2C","turquoise"
"UPF3B","yellow"
"ARAP1","yellow"
"IMPDH2","turquoise"
"LEPREL1","red"
"OPTN","brown"
"SSB","red"
"SDCBP","purple"
"INPP5F","brown"
"DNASE2","red"
"MICA ","red"
"CHST1","blue"
"BDKRB1","yellow"
"POLR3B","green"
"ERCC2","red"
"SMAP1","green"
"SHC2","green"
"VPS51","purple"
"TRA2A","black"
"CALHM2","purple"
"CBX3","yellow"
"MED4","yellow"
"NDUFA2","brown"
"ZNF34","blue"
"LOC100996747 ","grey"
"VAMP2","green"
"MLLT10","yellow"
"PCK2","red"
"FMR1","yellow"
"TUT1","green"
"NFKBIL1","green"
"PVRL2","yellow"
"AP2B1","turquoise"
"RSRC1","green"
"ADAMTSL2","green"
"ZNF467","grey"
"FUZ","green"
"STOM","turquoise"
"SUZ12","yellow"
"PICALM","green"
"MIR7114 ","brown"
"OTUD4","red"
"FAM131A","turquoise"
"TCFL5","blue"
"CTC-338M12.4","blue"
"OARD1","blue"
"ZNHIT3","black"
"XPA","brown"
"FRYL","brown"
"KIAA1462","blue"
"AHI1","turquoise"
"ASAP1","pink"
"CAPZA2","purple"
"RASGRP2","green"
"BCL2L2","turquoise"
"HSD17B7","black"
"PIP5K1C","yellow"
"HIVEP1","green"
"MEF2D","green"
"ACTN4","purple"
"ST14","green"
"WDR60","turquoise"
"MCCC1","blue"
"MARCH8","brown"
"RRAGD","purple"
"TSC1","black"
"H2BFS","green"
"FXYD5","red"
"MSH2","brown"
"ERLIN1","yellow"
"VEZF1","blue"
"SMS","grey"
"ITGA2B","green"
"EIF2B2","black"
"KDELR1","yellow"
"PCDH1","brown"
"MAFB","pink"
"PRDX6","pink"
"NCOA4","turquoise"
"GLB1L2","turquoise"
"KAZALD1","turquoise"
"DDX10","red"
"NUPL1","red"
"YIPF3","brown"
"VAC14","yellow"
"PARL","turquoise"
"LTN1","yellow"
"VPS28","red"
"DNAJC10","turquoise"
"ACTR2","turquoise"
"IL18R1","purple"
"CD59","grey"
"SNRPE","red"
"TRAPPC2L","black"
"RNF19B","turquoise"
"API5","yellow"
"TRIAP1","yellow"
"C14orf2","turquoise"
"BTBD2","purple"
"RPS27L","brown"
"SLC6A2","green"
"CRYM","turquoise"
"RBMS1","greenyellow"
"PAF1","purple"
"MAP3K2","black"
"ABHD3","turquoise"
"SH3D21","yellow"
"ISYNA1","blue"
"CSNK1E ","turquoise"
"PRDM8","green"
"CGGBP1","brown"
"FANCG","brown"
"TKT","brown"
"TM2D3","blue"
"TTC33","yellow"
"PKN1","red"
"FXR1","blue"
"PLCXD1","red"
"SH2B1","green"
"LRIG1","blue"
"TIMM22","green"
"ARL1","brown"
"ARPC5","turquoise"
"MEGF6","green"
"AMD1","red"
"LSM14A","blue"
"PPP3CC","brown"
"RAB13","red"
"ZFP64","brown"
"CDR2 ","green"
"MAF","brown"
"TOM1L2","brown"
"RWDD3","brown"
"ESF1","red"
"HDDC2","turquoise"
"DERL2","turquoise"
"HMG20A","brown"
"PTGER1","brown"
"ASAP3","turquoise"
"RALGAPB","brown"
"EPS8L2","purple"
"APPL2","red"
"SMYD3","magenta"
"EVI5","yellow"
"SRSF8","yellow"
"ARID5A","blue"
"NANS","blue"
"ARHGAP10","turquoise"
"MIEF1","green"
"MRPL16","brown"
"DNAJA2","red"
"CYP3A4","black"
"LRP8","grey"
"MEF2C","red"
"OTUD3","black"
"AK096803 ","green"
"CASKIN2","turquoise"
"PCDHB3","turquoise"
"SPAG9","red"
"GTPBP8","brown"
"ZNF747 ","green"
"ZFYVE26","brown"
"NEO1","purple"
"CHD1L","blue"
"SKIV2L2","red"
"TRDV3","turquoise"
"MRPL35","turquoise"
"TIMP2","green"
"DDB2","red"
"SNRPA","turquoise"
"RNF6","yellow"
"SCG5","turquoise"
"EIF4B","pink"
"TPP1","turquoise"
"METAP2","turquoise"
"ATF7IP","red"
"GNA11","turquoise"
"SH3GL3","green"
"NFE2L3","turquoise"
"NDST1","yellow"
"MFSD10","red"
"ALDH5A1","brown"
"DHTKD1","brown"
"VPS45","brown"
"LYRM9","purple"
"UNC119","green"
"HP","brown"
"RPS4XP2 ","blue"
"NLRP1","black"
"C7orf25 ","greenyellow"
"PRDX2","brown"
"TGFB2","turquoise"
"TBC1D8","turquoise"
"ACACA","turquoise"
"NFATC4","brown"
"PTPN11","yellow"
"WBP1L","blue"
"ANKS1A","brown"
"MISP","brown"
"ZBTB7C","brown"
"IL27RA","turquoise"
"ADRB2","blue"
"CAB39L","pink"
"CLSTN2","pink"
"TCEA2","blue"
"CDKN2B","green"
"MTAP","green"
"GLTSCR2 ","blue"
"ALDOC","turquoise"
"ALDH7A1","blue"
"HMGXB3","brown"
"RGN","blue"
"MAPKAP1","green"
"TNFSF15","turquoise"
"FAM182A ","green"
"DUSP9","green"
"PRCC","yellow"
"COQ2","turquoise"
"TMEM106C","brown"
"PPAT","red"
"LRRC8B","turquoise"
"MYL10","green"
"IQCE","brown"
"ANXA1","grey"
"LIN7C","yellow"
"NUDT11","grey"
"PSME4","turquoise"
"NGDN","red"
"LUC7L","black"
"CYAT1","turquoise"
"RIN3","turquoise"
"ARF4","green"
"HAMP","turquoise"
"CACNA1B","green"
"UPF2","yellow"
"IL2RA","turquoise"
"RGL1","brown"
"DENND4A","brown"
"OR2N1P ","red"
"RTEL1 ","green"
"DHX15","red"
"MDN1","red"
"MCM7","green"
"RAP1GAP2","magenta"
"APEH","turquoise"
"PURA","blue"
"IDH3A","red"
"CDK1","turquoise"
"APOBEC3F","yellow"
"RCBTB2","brown"
"ZDHHC4","brown"
"MBOAT2","turquoise"
"KIF21B","turquoise"
"PLAGL2","turquoise"
"QRSL1","turquoise"
"LOC102723479","turquoise"
"PIDD1","brown"
"NPHS2","green"
"CNTNAP1","red"
"PKNOX2","red"
"AKR1B1","turquoise"
"STX8","blue"
"ATP11B","yellow"
"ZNF587","red"
"PEBP1","purple"
"CRCP","brown"
"PHLDA3","pink"
"AK022030 ","yellow"
"CEP57","blue"
"OSBPL8","yellow"
"DDX11","black"
"PHACTR1","green"
"DUT","blue"
"PUS1","red"
"CCNH","yellow"
"ZNF573","blue"
"CNPPD1","red"
"ACAN","magenta"
"EMD","green"
"PIK3C2B","magenta"
"SETD2","blue"
"TRIM25","brown"
"PNKP","yellow"
"MECP2","turquoise"
"TSPAN12","blue"
"GRPEL1","red"
"GOLGA2","green"
"ZNF638","blue"
"PSEN2","red"
"BET1L","green"
"GLG1","red"
"SLC12A8","turquoise"
"MTF2","brown"
"MIR4784 ","brown"
"SETD8","green"
"EP300","yellow"
"XPO6","blue"
"TNFSF9","turquoise"
"KCNJ6","grey"
"CAP2","blue"
"ABHD10","brown"
"CEP170B","brown"
"SMURF2","yellow"
"TIPRL","green"
"SDR39U1","turquoise"
"TRIM13","yellow"
"BCAS2","yellow"
"PIGP","blue"
"OR7A5","green"
"PSMG1","red"
"CLINT1","green"
"UGT2B28","green"
"CBX1","brown"
"UCKL1","black"
"MTR","blue"
"SH3BGRL3","turquoise"
"SEC23IP","green"
"PODNL1","black"
"RPS6KB2","green"
"KRCC1","yellow"
"RBM25","yellow"
"EXOSC10","blue"
"EIF4E","red"
"HDAC5","purple"
"TMEM131","yellow"
"C10orf2","red"
"HSF4","green"
"DIMT1","red"
"CRY2","blue"
"HSPBAP1","brown"
"STC2","green"
"PRB3","grey"
"PTPN3","turquoise"
"LEPREL2","red"
"ATP6V0B","turquoise"
"NME4","red"
"TBKBP1","green"
"PICK1","green"
"PDAP1","turquoise"
"SRPR","turquoise"
"ARHGEF6","turquoise"
"HEATR3","turquoise"
"VPS4B","yellow"
"ATXN2L","green"
"SULT1A1","turquoise"
"ZNF430","brown"
"GTF2H3","black"
"REST","brown"
"METTL5","pink"
"DNAJB14","yellow"
"LOC100996724 ","turquoise"
"MARK1","turquoise"
"HGSNAT","red"
"NAT10","red"
"ABR","red"
"PPWD1","brown"
"AZGP1","pink"
"LOC102724364 ","yellow"
"CLIP3","red"
"GAPVD1","yellow"
"NUP155","brown"
"BMP5","pink"
"IKZF1","turquoise"
"DTL","turquoise"
"IFIT2","black"
"MARS ","blue"
"BEND5","purple"
"RBM5","black"
"PTCH1","blue"
"ASB8","black"
"CELF1","black"
"GMPR","black"
"KDM7A","brown"
"ECI1","pink"
"HOXB7","brown"
"GLA","blue"
"NGLY1","turquoise"
"HEXIM1","turquoise"
"HNRNPAB","red"
"PRSS53","green"
"SAFB2","black"
"MCTS1","turquoise"
"FNDC3A","yellow"
"RGL2","magenta"
"CPNE1","brown"
"DNAJB6","brown"
"RNF4","turquoise"
"RRP7A","red"
"SRPK2","green"
"ZNF227","brown"
"GNAI2","yellow"
"NDUFAF1","turquoise"
"ATG2B","brown"
"C2CD2","pink"
"AVEN","green"
"FASTKD1","turquoise"
"SRGAP2 ","green"
"JRKL","yellow"
"LA16c-381G6.1","green"
"CLMN","blue"
"ABHD17B","black"
"NPR1","turquoise"
"ZNF354A","green"
"KLF11","turquoise"
"HIST3H2A","turquoise"
"TPST1","turquoise"
"ATP6V0D1","turquoise"
"RPL35P8 ","green"
"NBPF1","magenta"
"PRDM2","purple"
"PLEKHF1","greenyellow"
"TMED5","red"
"PSMD10","brown"
"PDE10A","blue"
"PRKAG2","brown"
"POLR3K","black"
"CASP3","brown"
"LOC101060373 ","turquoise"
"MYH14","red"
"TIMM10B","red"
"MYL6B","red"
"SEC22A","brown"
"PLIN3","blue"
"AMPD2","blue"
"ABCA7","green"
"MAPK11","green"
"CASP7","yellow"
"WNT5B","magenta"
"AHCY","red"
"TNMD","pink"
"BHLHB9","blue"
"MIR6872 ","yellow"
"CHD7","red"
"CHUK","purple"
"RNF122","brown"
"SERP1","purple"
"PAOX","yellow"
"TSR2","green"
"LDHB","blue"
"CDKAL1","grey"
"GPX4","pink"
"IPO5","red"
"ZNF226","brown"
"MIR7110 ","magenta"
"ICMT","turquoise"
"PECR","green"
"LPPR2","brown"
"NOSIP","brown"
"ZKSCAN4","brown"
"UNC50","yellow"
"TEX10","red"
"NRIP3","blue"
"RXRA","green"
"DNM1L","turquoise"
"ATP5G3","turquoise"
"KIZ","blue"
"NISCH","black"
"PARVB","turquoise"
"MGA","yellow"
"ENOPH1","yellow"
"FAIM","blue"
"THYN1","blue"
"PTPN4","turquoise"
"VAMP4","yellow"
"FKBP3","brown"
"NOL12 ","pink"
"TAF11","yellow"
"CYP4B1","pink"
"ARMC6","green"
"MPRIP","purple"
"ENG","yellow"
"TRMT11","yellow"
"CD80","turquoise"
"SUN2","turquoise"
"KCTD20","brown"
"CNTFR","turquoise"
"USP25","blue"
"NUTF2 ","blue"
"PTTG1IP","magenta"
"EIF4A3","greenyellow"
"SWAP70","yellow"
"SORD","turquoise"
"CUX1","purple"
"TNK2","green"
"SLC25A36","blue"
"GS1-164F24.1","green"
"PRKCQ","turquoise"
"VDAC1","blue"
"SCARB1","red"
"KRR1","yellow"
"PNRC2","yellow"
"TLE3","brown"
"DDT ","brown"
"FRAT2","blue"
"LINC00339","green"
"MAPK1IP1L","red"
"HEXB","turquoise"
"ITPKC","turquoise"
"APOOL","green"
"YIPF1","turquoise"
"CEP135","turquoise"
"ACIN1","black"
"FIG4","turquoise"
"PPA2","brown"
"SAP30BP","red"
"PPM1B","yellow"
"GGA2","brown"
"CTC-428G20.3","brown"
"CHKB-CPT1B ","turquoise"
"BEST1","green"
"ACVR1","grey"
"SYNJ2BP ","blue"
"HECTD4","black"
"BLVRB","red"
"NCOR2","yellow"
"HNRNPL","brown"
"PCDHB11","yellow"
"MOCOS","magenta"
"SUCO","yellow"
"EFS","turquoise"
"DPM1","red"
"SMARCA5","brown"
"NAALADL1","purple"
"CXorf21","green"
"ZNF37BP","brown"
"FRG1 ","yellow"
"AHR","brown"
"CDC42SE1","blue"
"SLC16A4","brown"
"EIF4A2 ","yellow"
"CETP","turquoise"
"REXO2","pink"
"FAM160B2","black"
"RP4-595K12.1","yellow"
"CYC1","brown"
"UBXN1","purple"
"TMA7","yellow"
"RRN3 ","yellow"
"VPS8","brown"
"LSM6","red"
"CHST15","blue"
"ABCA1","grey"
"ERN2","black"
"UIMC1","greenyellow"
"USP22","red"
"MMP24-AS1","grey"
"PDK3","grey"
"FAM57A","red"
"GZMM","turquoise"
"LRP12","yellow"
"AK6 ","red"
"WDR13","turquoise"
"KIAA0930","turquoise"
"CBX5","red"
"PEMT","brown"
"EXT2","blue"
"SLC38A10","red"
"ZCCHC2","yellow"
"CATSPER2 ","black"
"DPF2","blue"
"RNASEH2A","turquoise"
"FGF18","turquoise"
"AGER","green"
"DENND1A","turquoise"
"KRT18","blue"
"SIRPA","turquoise"
"SAT1","brown"
"KLHL9","yellow"
"BRF1","green"
"PTGER3","pink"
"ZNF189","blue"
"CNOT7","turquoise"
"GCSH ","yellow"
"ZFAND5","pink"
"GIT1","green"
"SLC39A1","black"
"HSPB7","pink"
"SLC25A20","brown"
"AIMP2","red"
"ZNF106","magenta"
"DLG1","blue"
"SPOP","brown"
"COG7","yellow"
"SAFB","green"
"DNAJB6 ","turquoise"
"EIF4ENIF1","blue"
"ABHD4","turquoise"
"FURIN","brown"
"CRADD","red"
"IGFALS","green"
"AFTPH","turquoise"
"RAD50","brown"
"CREG1","grey"
"GTSE1","black"
"RNF39","green"
"FBN2","turquoise"
"ME3","black"
"OBFC1","brown"
"SUPT7L","brown"
"POP1","red"
"S100A10","pink"
"SH3GLB1","blue"
"TRAK2","blue"
"TUBGCP2","yellow"
"EMC3","yellow"
"ABCF2","red"
"ARFIP1","brown"
"TPO","yellow"
"SQSTM1","turquoise"
"SCN3A","brown"
"MARK3","black"
"CCDC28B","green"
"UNC119B","green"
"SRRD","red"
"RRBP1","yellow"
"SERPING1","pink"
"GOLGA2P7 ","green"
"MED23","brown"
"PBX3","red"
"AKT3","blue"
"STOML2","red"
"KIFAP3","brown"
"HIC2","green"
"COL6A3","pink"
"SLC12A7","turquoise"
"OPLAH","green"
"UBE2H","brown"
"MRPS17","purple"
"PDE4A","purple"
"CRYL1","blue"
"CCND2","grey"
"BIN3","brown"
"MPDU1","blue"
"NDUFB7","brown"
"GCLM","red"
"C11orf57","yellow"
"TLE4","brown"
"HOXC4","black"
"C6orf15","brown"
"MRPL17","blue"
"GOLPH3","green"
"SHANK2","turquoise"
"LOC101928061 ","turquoise"
"OVGP1","grey"
"NFKB1","blue"
"NUP205","red"
"TM7SF2","pink"
"ZNF207","red"
"PRKCZ","turquoise"
"CEP83","green"
"SLFN12","brown"
"SLC22A4","red"
"MRPS27","yellow"
"GTF3A","turquoise"
"PHKA1","turquoise"
"GOLGA5","brown"
"PSMC3","grey"
"LSM14B","green"
"COQ10B","red"
"HIST1H3E","green"
"COPS3","red"
"BACH1","yellow"
"TICAM1","brown"
"DUX1","green"
"CD3EAP","red"
"CSPP1","green"
"TMSB15A ","blue"
"USP5","green"
"BCL11A","turquoise"
"HIPK2","black"
"ZFAND6","yellow"
"CCS","red"
"ARHGAP24","blue"
"LAMB3","yellow"
"SMUG1","green"
"FBXW4P1","brown"
"CUL2","brown"
"KCNQ2","green"
"SPHK1","red"
"SSH1","yellow"
"PCBP4","red"
"DESI1","blue"
"ENC1","grey"
"SS18","green"
"CPEB1","turquoise"
"AP2M1","yellow"
"RAB11FIP3","brown"
"GCNT1","turquoise"
"AKIRIN1","blue"
"TMEM251","brown"
"OLFM1","blue"
"CMC2","blue"
"MAGT1","yellow"
"FCGRT","green"
"CCPG1","brown"
"HN1L","greenyellow"
"PTPRS","green"
"SLIRP","red"
"ZNF654","grey"
"SGCA","green"
"SEMA6C","green"
"DES ","green"
"UBE2V2","yellow"
"LYL1","turquoise"
"C11orf71","brown"
"SLC7A6","red"
"YKT6","blue"
"LRRC59","blue"
"TNPO2","turquoise"
"LLGL2","turquoise"
"HCFC1R1","red"
"P2RX5 ","brown"
"VCL","blue"
"NLGN3","yellow"
"FPR2","blue"
"FOCAD","brown"
"ETFA","yellow"
"CLDN7","green"
"XAF1","grey"
"ATP6AP2","yellow"
"TAF1","brown"
"NDUFB5","brown"
"NTNG1","green"
"NUP37","brown"
"SPATA7","blue"
"ZNF507","green"
"KCTD14 ","red"
"BMX","blue"
"NPFFR1","green"
"NOS3","red"
"C1orf115","blue"
"KLHL26","turquoise"
"TUBB4A","green"
"MIR636 ","blue"
"LIFR","yellow"
"PPP1CC","brown"
"GNL3 ","red"
"CD1E","green"
"IDS","yellow"
"FAM136A ","turquoise"
"SLC25A1","pink"
"PPIE","black"
"BHMT","green"
"BAI1","green"
"EWSR1","red"
"METTL1","red"
"YAF2","green"
"ZNF23","yellow"
"RDH11","yellow"
"ARNT","turquoise"
"RBM22","yellow"
"OR7E37P","turquoise"
"IFT74","blue"
"SARS","turquoise"
"ST8SIA1","turquoise"
"ASH1L","brown"
"PDS5B","blue"
"TMEM208","turquoise"
"APOBEC3B","turquoise"
"TALDO1","turquoise"
"AP3B1","turquoise"
"QTRT1","brown"
"HSP90B1 ","purple"
"LSM7","red"
"LOC155060","black"
"KDM2A","brown"
"FAM193B","black"
"KLHDC10","yellow"
"RASA3","brown"
"RTN3","grey"
"SCAF8","yellow"
"KDM4A","yellow"
"MED20","greenyellow"
"ADAMTSL4","black"
"FJX1","red"
"RQCD1","red"
"DNASE1L1","turquoise"
"RPL10A","yellow"
"WBP5","blue"
"DGKQ","green"
"PMM1","blue"
"ZBED8","blue"
"ADNP2","yellow"
"CMPK1","yellow"
"PRH1 ","green"
"CHMP1A","green"
"CDS2","brown"
"KIAA0226","brown"
"PLAA","green"
"FLT3LG","black"
"HECA","brown"
"IK","blue"
"SPIN2A ","blue"
"PRPF6","purple"
"BBS1","blue"
"ALG5","brown"
"PIBF1","green"
"ICT1","yellow"
"SETD1A","green"
"MXD3","green"
"GPR25","green"
"YME1L1","yellow"
"TSPYL5","blue"
"GSTZ1","green"
"RWDD2A","blue"
"ZNF146","red"
"RNASEL","brown"
"FKBP8","yellow"
